created;text 
12/5/2021 16:11;"RT @yoonkoous: RT + reply to vote!!! 

i vote #bts  (@BTS_twt) on MAMA Worldwide Fans' Choice Top 10. #MAMAVOTE https://t.co/Chms1FUhwe"
12/5/2021 16:11;"RT @btsvotingorg: @btsvotingunite Don't stop on voting ARMY! Few more days left to vote. 🛸

#MAMAVOTE #bts"
12/5/2021 16:11;"RT @bts_bighit: #BTS #방탄소년단 #Jin #슈퍼참치 Special Performance Video 공개! 🐟🎣 
(https://t.co/C2NUWmaSNt)"
12/5/2021 16:11;"RT @JiminGlobal: We vote for #bts (@bts_twt) for Worldwide Fans' Choice #MAMAVOTE.

https://t.co/Q1ilUyvOtF"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;RT @shawnstockman: Happy birthday to #BTS Jin! 💜@BTS_twt #HappyBirthdayJin #HAPPYJINDAY #SuperTunaByJin
12/5/2021 16:11;"RT @nappynapkin: Super Tuna - Animal crossing MV version 🎣 (Please watch till the end~)
#BTS #JIN #SuperTuna #슈퍼참치 #acnh #animalcrossing  @…"
12/5/2021 16:11;"RT @bts_bighit: Every day feels like holidays with #BTS_Butter (Holiday Remix)! 🎁

☃Listen now: https://t.co/ReK04Lvigc

#BTS #방탄소년단 #Smoot…"
12/5/2021 16:11;"RT @Jkkhey7: @btsvotingorg ARMY GLOBAL VOTING PARTY

I vote for #bts  as Worldwide Fan’s Choice Top 10 at the #MAMAVOTE"
12/5/2021 16:11;"RT @soompi: #BTS’s #JHope Becomes 1st Korean Solo Artist To Surpass 8 Million Followers On Spotify
https://t.co/MMqgbw2Fuy https://t.co/a24…"
12/5/2021 16:11;"RT @Snowland1013: [HQ] 211123 BTS Performs a Crosswalk

#지민 #JIMIN #방탄소년단     #BTS  @BTS_twt https://t.co/no3b82RCg0"
12/5/2021 16:11;"RT @btsvotingorg: Thank you ARMY for joining the #BVOSpace. We hope you had fun voting with us! 

Let's continue to vote BTS and create mor…"
12/5/2021 16:11;"RT @bts_bighit: Every day feels like holidays with #BTS_Butter (Holiday Remix)! 🎁

☃Listen now: https://t.co/ReK04Lvigc

#BTS #방탄소년단 #Smoot…"
12/5/2021 16:11;"RT @bts_bighit: Every day feels like holidays with #BTS_Butter (Holiday Remix)! 🎁

☃Listen now: https://t.co/ReK04Lvigc

#BTS #방탄소년단 #Smoot…"
12/5/2021 16:11;"RT @DIORlattae: Jin's BTS 'Super Tuna' Special Performance Video has passed 10M views on YouTube ! 🥳

#BTS #방탄소년단 #SUPERTUNA #슈퍼참치 @BTS_twt"
12/5/2021 16:11;"RT @btsvotingunite: [!] Worldwide Fans Choice Top 10 Finale (Website voting),

Added votes per hour, 1AM (KST):
1. #BTS – +50,146 🔥🔥😭
2.…"
12/5/2021 16:11;"RT @bts_bighit: Every day feels like holidays with #BTS_Butter (Holiday Remix)! 🎁

☃Listen now: https://t.co/ReK04Lvigc

#BTS #방탄소년단 #Smoot…"
